D & B Used Cars|111 Old Benbrook Rd|817-555-5555
10112|1993|Ford|Explorer|SUV|Red|525123|995.0
37846|2001|Ford|Ranger|truck|Yellow|172544|1995.0
44901|2012|Honda|Civic|SUV|Gray|103221|6995.0
12345|1981|Jeep|CJ-8|SUV|White|57000|15000.0
50002|1999|Toyota|Corolla|sedan|Red|214567|3295.00
50003|2010|Chevrolet|Impala|SUV|Black|187342|8995.00
50004|2016|Ford|Accord|coupe|White|92341|15995.00
50005|2005|Nissan|Altima|sedan|Blue|234000|4595.00
50006|2018|Honda|Civic|truck|Gray|45321|13995.00
50007|2003|Toyota|Explorer|SUV|Green|165000|4995.00
50008|2011|Chevrolet|Ranger|convertible|Yellow|154321|12500.00
50009|2020|Ford|Corolla|SUV|Black|30212|21995.00
50010|2007|Honda|Impala|truck|White|178234|6950.00
50011|1998|Nissan|Civic|sedan|Red|225000|1200.00
50012|2002|Toyota|Accord|convertible|Gray|142567|3995.00
50013|2019|Chevrolet|Altima|coupe|Blue|38219|16995.00
